id,name,lucylink
1039,"Large Cloth Kilt",http://lucy.allakhazam.com/item.html?id=1039
1040,"Iron Torque",http://lucy.allakhazam.com/item.html?id=1040
1041,"Worthless Coin",http://lucy.allakhazam.com/item.html?id=1041
1042,"Large Iron Torque",http://lucy.allakhazam.com/item.html?id=1042
1043,"Small Iron Torque",http://lucy.allakhazam.com/item.html?id=1043
1044,"Velium Round Shield",http://lucy.allakhazam.com/item.html?id=1044
1045,"Rodrick's Head",http://lucy.allakhazam.com/item.html?id=1045
1046,"Shackle key",http://lucy.allakhazam.com/item.html?id=1046
1047,"Note from Corbin",http://lucy.allakhazam.com/item.html?id=1047
1048,"Black Leather Cloak",http://lucy.allakhazam.com/item.html?id=1048
1049,"Brown Leather Gloves",http://lucy.allakhazam.com/item.html?id=1049
1050,"Rat Fur Cap",http://lucy.allakhazam.com/item.html?id=1050
1051,"Rat Pelt Cape",http://lucy.allakhazam.com/item.html?id=1051
1052,"Snake Fang Necklace",http://lucy.allakhazam.com/item.html?id=1052
1053,"Rat's Foot Necklace",http://lucy.allakhazam.com/item.html?id=1053
1054,"Used Merchants Gloves",http://lucy.allakhazam.com/item.html?id=1054
1055,"Shawl of the Wind Spirit",http://lucy.allakhazam.com/item.html?id=1055
1056,"Faded Cloak",http://lucy.allakhazam.com/item.html?id=1056
1057,"Mystic Cloak",http://lucy.allakhazam.com/item.html?id=1057
1058,"Alliance Robe Yellow",http://lucy.allakhazam.com/item.html?id=1058
1059,"Alliance Robe Blue",http://lucy.allakhazam.com/item.html?id=1059
1060,"Teir`Dal Robe Red",http://lucy.allakhazam.com/item.html?id=1060
1061,"Fishbone Necklace",http://lucy.allakhazam.com/item.html?id=1061
1062,"Kerran Fishingpole",http://lucy.allakhazam.com/item.html?id=1062
1063,"Kerran Tribal Headband",http://lucy.allakhazam.com/item.html?id=1063
1064,"Trakanasaur Hide Tunic",http://lucy.allakhazam.com/item.html?id=1064
1065,"Trakanasaur Hide Leggings",http://lucy.allakhazam.com/item.html?id=1065
1066,"Trakanasaur Hide Sleeves",http://lucy.allakhazam.com/item.html?id=1066
1067,"Trakanasaur Hide Gloves",http://lucy.allakhazam.com/item.html?id=1067
1068,"Holy Dirt of Brell",http://lucy.allakhazam.com/item.html?id=1068
1069,"Fiery Jewel of the Underfoot",http://lucy.allakhazam.com/item.html?id=1069
1070,"Speckled Granite Pebble",http://lucy.allakhazam.com/item.html?id=1070
1071,"Living Heart of a Brell Minion",http://lucy.allakhazam.com/item.html?id=1071
1072,"Blood Flecked Obsidian Shard",http://lucy.allakhazam.com/item.html?id=1072
1073,"Dulled Silver Paineel Earring",http://lucy.allakhazam.com/item.html?id=1073
1074,"Ruined Heretic Longsword",http://lucy.allakhazam.com/item.html?id=1074
1075,"Cracked Paineel Shield",http://lucy.allakhazam.com/item.html?id=1075
1076,"Ruined Sword Hilt",http://lucy.allakhazam.com/item.html?id=1076
1077,"Gold lined heretic cloak",http://lucy.allakhazam.com/item.html?id=1077
1078,"Fuzzknuckle Foothairs",http://lucy.allakhazam.com/item.html?id=1078
1080,"Mithril Studded Skullcap",http://lucy.allakhazam.com/item.html?id=1080
1081,"Mithril Studded Mask",http://lucy.allakhazam.com/item.html?id=1081
1082,"Mithril Studded Gorget",http://lucy.allakhazam.com/item.html?id=1082
1083,"Mithril Studded Tunic",http://lucy.allakhazam.com/item.html?id=1083
1084,"Mithril Studded Shoulderpads",http://lucy.allakhazam.com/item.html?id=1084
1085,"Mithril Studded Cloak",http://lucy.allakhazam.com/item.html?id=1085
1086,"Mithril Studded Belt",http://lucy.allakhazam.com/item.html?id=1086
1087,"Mithril Studded Sleeves",http://lucy.allakhazam.com/item.html?id=1087
1088,"Mithril Studded Wristbands",http://lucy.allakhazam.com/item.html?id=1088
1089,"Mithril Studded Gloves",http://lucy.allakhazam.com/item.html?id=1089
1090,"Mithril Studded Leggings",http://lucy.allakhazam.com/item.html?id=1090
1091,"Mithril Studded Boots",http://lucy.allakhazam.com/item.html?id=1091
1092,"Chief Ry`Gorr's Head",http://lucy.allakhazam.com/item.html?id=1092
1093,"Marching Orders",http://lucy.allakhazam.com/item.html?id=1093
1094,"Dirk of the Traitor",http://lucy.allakhazam.com/item.html?id=1094
1095,"Case of Tunarean Crests",http://lucy.allakhazam.com/item.html?id=1095
1097,Frostwrath,http://lucy.allakhazam.com/item.html?id=1097
1098,"Phase Spider Carapace",http://lucy.allakhazam.com/item.html?id=1098
1099,"Mithril Boots",http://lucy.allakhazam.com/item.html?id=1099
1100,"Mithril Gauntlets",http://lucy.allakhazam.com/item.html?id=1100
1101,"Netted Cap",http://lucy.allakhazam.com/item.html?id=1101
1102,"Netted Mask",http://lucy.allakhazam.com/item.html?id=1102
1103,"Netted Choker",http://lucy.allakhazam.com/item.html?id=1103
1104,"Netted Shirt",http://lucy.allakhazam.com/item.html?id=1104
1105,"Netted Mantle",http://lucy.allakhazam.com/item.html?id=1105
1106,"Netted Cape",http://lucy.allakhazam.com/item.html?id=1106
1107,"Netted Girth",http://lucy.allakhazam.com/item.html?id=1107
1108,"Netted Sleeves",http://lucy.allakhazam.com/item.html?id=1108
1109,"Netted Wristband",http://lucy.allakhazam.com/item.html?id=1109
1110,"Netted Gloves",http://lucy.allakhazam.com/item.html?id=1110
1111,"Netted Pants",http://lucy.allakhazam.com/item.html?id=1111
1112,"Mithril Helm",http://lucy.allakhazam.com/item.html?id=1112
1113,"Orb of the Crimson Bull",http://lucy.allakhazam.com/item.html?id=1113
1114,"Shawl of Perception",http://lucy.allakhazam.com/item.html?id=1114
1115,"Blood of Dragonkind",http://lucy.allakhazam.com/item.html?id=1115
1116,"Ebony Headband",http://lucy.allakhazam.com/item.html?id=1116
1117,"Velketor's Spell Book",http://lucy.allakhazam.com/item.html?id=1117
1120,"Erudehide Tunic",http://lucy.allakhazam.com/item.html?id=1120
1121,"Woven Cap",http://lucy.allakhazam.com/item.html?id=1121
1122,"Woven Mask",http://lucy.allakhazam.com/item.html?id=1122
1123,"Woven Collar",http://lucy.allakhazam.com/item.html?id=1123
1124,"Woven Tunic",http://lucy.allakhazam.com/item.html?id=1124
1125,"Woven Mantle",http://lucy.allakhazam.com/item.html?id=1125
1126,"Woven Cape",http://lucy.allakhazam.com/item.html?id=1126
1127,"Woven Girth",http://lucy.allakhazam.com/item.html?id=1127
1128,"Woven Sleeves",http://lucy.allakhazam.com/item.html?id=1128
1129,"Woven Wristbands",http://lucy.allakhazam.com/item.html?id=1129
1130,"Woven Gloves",http://lucy.allakhazam.com/item.html?id=1130
1131,"Woven Leggings",http://lucy.allakhazam.com/item.html?id=1131
1132,"Tinker Wrench",http://lucy.allakhazam.com/item.html?id=1132
1133,"Shield of the Clawed Guardian",http://lucy.allakhazam.com/item.html?id=1133
1134,"Writ of Dragonkind",http://lucy.allakhazam.com/item.html?id=1134
1135,"Mask of Tinkering",http://lucy.allakhazam.com/item.html?id=1135
1136,Smolder,http://lucy.allakhazam.com/item.html?id=1136
1137,"Shroud of Longevity",http://lucy.allakhazam.com/item.html?id=1137
1138,"White Resistance Stone",http://lucy.allakhazam.com/item.html?id=1138
1139,"Blue Resistance Stone",http://lucy.allakhazam.com/item.html?id=1139
1140,"Red Resistance Stone",http://lucy.allakhazam.com/item.html?id=1140
1141,"Mesh Helm",http://lucy.allakhazam.com/item.html?id=1141
1142,"Mesh Mask",http://lucy.allakhazam.com/item.html?id=1142
1143,"Mesh Gorget",http://lucy.allakhazam.com/item.html?id=1143
1144,"Mesh Tunic",http://lucy.allakhazam.com/item.html?id=1144
1145,"Mesh Mantle",http://lucy.allakhazam.com/item.html?id=1145
1146,"Mesh Cape",http://lucy.allakhazam.com/item.html?id=1146
1147,"Mesh Girth",http://lucy.allakhazam.com/item.html?id=1147
1148,"Mesh Armbands",http://lucy.allakhazam.com/item.html?id=1148
1149,"Mesh Bracers",http://lucy.allakhazam.com/item.html?id=1149
1150,"Mesh Gauntlets",http://lucy.allakhazam.com/item.html?id=1150
1151,"Mesh Leggings",http://lucy.allakhazam.com/item.html?id=1151
1152,"Green Resistance Stone",http://lucy.allakhazam.com/item.html?id=1152
1153,"Dainty Gloves",http://lucy.allakhazam.com/item.html?id=1153
1154,"Sceptre of Destruction",http://lucy.allakhazam.com/item.html?id=1154
1155,"Sylvani Leaf",http://lucy.allakhazam.com/item.html?id=1155
1156,"Staff of the Morning Dew",http://lucy.allakhazam.com/item.html?id=1156
1157,"Dragon Scaled Mask",http://lucy.allakhazam.com/item.html?id=1157
1158,"Salindrite Dagger",http://lucy.allakhazam.com/item.html?id=1158
1159,"Kerran Headband",http://lucy.allakhazam.com/item.html?id=1159
1160,"Raw Silk Headband",http://lucy.allakhazam.com/item.html?id=1160
1161,"Raw Silk Mask",http://lucy.allakhazam.com/item.html?id=1161
1162,"Raw Silk Collar",http://lucy.allakhazam.com/item.html?id=1162
1163,"Raw Silk Robe",http://lucy.allakhazam.com/item.html?id=1163
1164,"Raw Silk Mantle",http://lucy.allakhazam.com/item.html?id=1164
1165,"Raw Silk Cloak",http://lucy.allakhazam.com/item.html?id=1165
1166,"Raw Silk Sash",http://lucy.allakhazam.com/item.html?id=1166
1167,"Raw Silk Sleeves",http://lucy.allakhazam.com/item.html?id=1167
1168,"Raw Silk Wristbands",http://lucy.allakhazam.com/item.html?id=1168
1169,"Raw Silk Gloves",http://lucy.allakhazam.com/item.html?id=1169
1170,"Raw Silk Leggings",http://lucy.allakhazam.com/item.html?id=1170
1171,"Raw Silk Sandals",http://lucy.allakhazam.com/item.html?id=1171
1172,"Clawed Guardian Bracer",http://lucy.allakhazam.com/item.html?id=1172
1173,"Staff of the Elder Claws",http://lucy.allakhazam.com/item.html?id=1173
1174,"Preserved Kromrif Heads",http://lucy.allakhazam.com/item.html?id=1174
1175,"Burlap Coldain Prayer Shawl",http://lucy.allakhazam.com/item.html?id=1175
1176,"Cloth Coldain Prayer Shawl",http://lucy.allakhazam.com/item.html?id=1176
1177,"Woven Coldain Prayer Shawl",http://lucy.allakhazam.com/item.html?id=1177
1178,"Fur-Lined Coldain Prayer Shawl",http://lucy.allakhazam.com/item.html?id=1178
1179,"Silk Coldain Prayer Shawl",http://lucy.allakhazam.com/item.html?id=1179
1180,"Cured Silk Headband",http://lucy.allakhazam.com/item.html?id=1180
1181,"Cured Silk Mask",http://lucy.allakhazam.com/item.html?id=1181
1182,"Cured Silk Collar",http://lucy.allakhazam.com/item.html?id=1182
1183,"Cured Silk Gi",http://lucy.allakhazam.com/item.html?id=1183
1184,"Cured Silk Mantle",http://lucy.allakhazam.com/item.html?id=1184
1185,"Cured Silk Cloak",http://lucy.allakhazam.com/item.html?id=1185
1186,"Cured Silk Sash",http://lucy.allakhazam.com/item.html?id=1186
1187,"Cured Silk Sleeves",http://lucy.allakhazam.com/item.html?id=1187
1188,"Cured Silk Wristbands",http://lucy.allakhazam.com/item.html?id=1188
1189,"Cured Silk Handwraps",http://lucy.allakhazam.com/item.html?id=1189
1190,"Cured Silk Leggings",http://lucy.allakhazam.com/item.html?id=1190
1191,"Cured Silk Sandals",http://lucy.allakhazam.com/item.html?id=1191
1192,"Wu's Fighting Gauntlets",http://lucy.allakhazam.com/item.html?id=1192
1193,"Burynai Legion Gi",http://lucy.allakhazam.com/item.html?id=1193
1194,"Mountain Death Belt",http://lucy.allakhazam.com/item.html?id=1194
1195,"Woven Cord of Mistletoe",http://lucy.allakhazam.com/item.html?id=1195
1196,"Woven Vine Wristband",http://lucy.allakhazam.com/item.html?id=1196
1197,"Maple Leaf Mask",http://lucy.allakhazam.com/item.html?id=1197
1198,"Embroidered Coldain Prayer Shawl",http://lucy.allakhazam.com/item.html?id=1198
1199,"Runed Coldain Prayer Shawl",http://lucy.allakhazam.com/item.html?id=1199
1200,"Blessed Coldain Prayer Shawl",http://lucy.allakhazam.com/item.html?id=1200
1201,"Shiverback-hide Jerkin",http://lucy.allakhazam.com/item.html?id=1201
1202,"Shiverback-hide Armbands",http://lucy.allakhazam.com/item.html?id=1202
1203,"Shiverback-hide Wristbands",http://lucy.allakhazam.com/item.html?id=1203
1204,"Shiverback-hide Gloves",http://lucy.allakhazam.com/item.html?id=1204
1205,"Shiverback-hide Leggings",http://lucy.allakhazam.com/item.html?id=1205
1206,"Shiverback-hide Boots",http://lucy.allakhazam.com/item.html?id=1206
1207,"Helm of the Tracker",http://lucy.allakhazam.com/item.html?id=1207
1208,"Gloves of Earthcrafting",http://lucy.allakhazam.com/item.html?id=1208
1209,"Natures Defender",http://lucy.allakhazam.com/item.html?id=1209
1210,"Gnoll Fur Patch",http://lucy.allakhazam.com/item.html?id=1210
1211,"Cryosilk Cap",http://lucy.allakhazam.com/item.html?id=1211
1212,"Cryosilk Veil",http://lucy.allakhazam.com/item.html?id=1212
1213,"Cryosilk Choker",http://lucy.allakhazam.com/item.html?id=1213
1214,"Cryosilk Robe",http://lucy.allakhazam.com/item.html?id=1214
1215,"Cryosilk Amice",http://lucy.allakhazam.com/item.html?id=1215
1216,"Cryosilk Cloak",http://lucy.allakhazam.com/item.html?id=1216
1217,"Cryosilk Sash",http://lucy.allakhazam.com/item.html?id=1217
1218,"Cryosilk Sleeves",http://lucy.allakhazam.com/item.html?id=1218
1219,"Cryosilk Bracelet",http://lucy.allakhazam.com/item.html?id=1219
1220,"Cryosilk Gloves",http://lucy.allakhazam.com/item.html?id=1220
1221,"Cryosilk Pantaloons",http://lucy.allakhazam.com/item.html?id=1221
1222,"Cryosilk Lined Shoes",http://lucy.allakhazam.com/item.html?id=1222
1223,"Symbol of Tunarian Worship",http://lucy.allakhazam.com/item.html?id=1223
1224,"Chord of Vines",http://lucy.allakhazam.com/item.html?id=1224
1225,"Carmine Turban",http://lucy.allakhazam.com/item.html?id=1225
1226,"Carmine Robe",http://lucy.allakhazam.com/item.html?id=1226
1227,"Carmine Sleeves",http://lucy.allakhazam.com/item.html?id=1227
1228,"Carmine Trinket",http://lucy.allakhazam.com/item.html?id=1228
1229,"Carmine Gloves",http://lucy.allakhazam.com/item.html?id=1229
1230,"Carmine Pants",http://lucy.allakhazam.com/item.html?id=1230
1231,"Carmine Boots",http://lucy.allakhazam.com/item.html?id=1231
1232,"Blighted Skullcap",http://lucy.allakhazam.com/item.html?id=1232
1233,"Blighted Robe",http://lucy.allakhazam.com/item.html?id=1233
1234,"Blighted Sleeves",http://lucy.allakhazam.com/item.html?id=1234
1235,"Blighted Armband",http://lucy.allakhazam.com/item.html?id=1235
1236,"Blighted Gloves",http://lucy.allakhazam.com/item.html?id=1236
1237,"Blighted Trousers",http://lucy.allakhazam.com/item.html?id=1237
1238,"Blighted Boots",http://lucy.allakhazam.com/item.html?id=1238
1239,"Apothic Crown",http://lucy.allakhazam.com/item.html?id=1239
1240,"Apothic Robe",http://lucy.allakhazam.com/item.html?id=1240
1241,"Apothic Sleeves",http://lucy.allakhazam.com/item.html?id=1241
1242,"Apothic Warband",http://lucy.allakhazam.com/item.html?id=1242
1243,"Apothic Gloves",http://lucy.allakhazam.com/item.html?id=1243
1244,"Apothic Kilt",http://lucy.allakhazam.com/item.html?id=1244
1245,"Apothic Boots",http://lucy.allakhazam.com/item.html?id=1245
1246,"Insidious Halo",http://lucy.allakhazam.com/item.html?id=1246
1247,"Insidious Robe",http://lucy.allakhazam.com/item.html?id=1247
1248,"Insidious Sleeves",http://lucy.allakhazam.com/item.html?id=1248
1249,"Insidious Manacle",http://lucy.allakhazam.com/item.html?id=1249
1250,"Insidious Gloves",http://lucy.allakhazam.com/item.html?id=1250
1251,"Insidious Pantaloons",http://lucy.allakhazam.com/item.html?id=1251
1252,"Insidious Slippers",http://lucy.allakhazam.com/item.html?id=1252
1253,"Robe of the Kedge",http://lucy.allakhazam.com/item.html?id=1253
1254,"Miragul's Robe",http://lucy.allakhazam.com/item.html?id=1254
1255,"Robe of the Mystic",http://lucy.allakhazam.com/item.html?id=1255
1256,"Tattered Tomb Shroud",http://lucy.allakhazam.com/item.html?id=1256
1257,"Tattered Arm Wrappings",http://lucy.allakhazam.com/item.html?id=1257
1258,"Tattered Leg Wrappings",http://lucy.allakhazam.com/item.html?id=1258
1259,"Worm-eaten Gloves",http://lucy.allakhazam.com/item.html?id=1259
1260,"Grave Sandals",http://lucy.allakhazam.com/item.html?id=1260
1262,"Elliptical Veil",http://lucy.allakhazam.com/item.html?id=1262
1263,"Robe of the Foci",http://lucy.allakhazam.com/item.html?id=1263
1268,"Robe of Living Fungus",http://lucy.allakhazam.com/item.html?id=1268
1269,"Fur Lined Robe",http://lucy.allakhazam.com/item.html?id=1269
1271,"Al`Kabor's Cap of Binding",http://lucy.allakhazam.com/item.html?id=1271
1272,"Augmentor's Mask",http://lucy.allakhazam.com/item.html?id=1272
1273,"Raiment of Thunder",http://lucy.allakhazam.com/item.html?id=1273
1274,"Bracelet of Clarification",http://lucy.allakhazam.com/item.html?id=1274
1275,"Ivory Mask",http://lucy.allakhazam.com/item.html?id=1275
1276,"Wind Walker's Mantle",http://lucy.allakhazam.com/item.html?id=1276
1277,"Sphinx Hair Cord",http://lucy.allakhazam.com/item.html?id=1277
1278,"Cloak of Spiroc Feathers",http://lucy.allakhazam.com/item.html?id=1278
1279,"Bloodsoaked Raiment",http://lucy.allakhazam.com/item.html?id=1279
1280,"Sandals of Alacrity",http://lucy.allakhazam.com/item.html?id=1280
1281,"Ton Po's Eye Patch",http://lucy.allakhazam.com/item.html?id=1281
1282,"Mystical Back Straps",http://lucy.allakhazam.com/item.html?id=1282
1283,"Ton Po's Shoulder Wraps",http://lucy.allakhazam.com/item.html?id=1283
1284,"Ruined Scaled Coif",http://lucy.allakhazam.com/item.html?id=1284
1285,"Ruined Scaled Visor",http://lucy.allakhazam.com/item.html?id=1285
1286,"Ruined Scaled Neckguard",http://lucy.allakhazam.com/item.html?id=1286
1287,"Ruined Scaled Coat",http://lucy.allakhazam.com/item.html?id=1287
1288,"Ruined Scaled Mantle",http://lucy.allakhazam.com/item.html?id=1288
1289,"Ruined Scaled Cape",http://lucy.allakhazam.com/item.html?id=1289
1290,"Ruined Scaled Skirt",http://lucy.allakhazam.com/item.html?id=1290
1291,"Ruined Scaled Sleeves",http://lucy.allakhazam.com/item.html?id=1291
1292,"Ruined Scaled Bracelet",http://lucy.allakhazam.com/item.html?id=1292
1293,"Ruined Scaled Gloves",http://lucy.allakhazam.com/item.html?id=1293
1294,"Ruined Scaled Pants",http://lucy.allakhazam.com/item.html?id=1294
1295,"Ruined Scaled Boots",http://lucy.allakhazam.com/item.html?id=1295
1296,"Iksar Skin Gloves",http://lucy.allakhazam.com/item.html?id=1296
1297,"Triumvirate Missionary Robe",http://lucy.allakhazam.com/item.html?id=1297
1298,"Plasmatic Priest Robe",http://lucy.allakhazam.com/item.html?id=1298
1299,"Blood Soaked Plasmatic Priest Robe",http://lucy.allakhazam.com/item.html?id=1299
1300,"Cloak of Defense",http://lucy.allakhazam.com/item.html?id=1300
1301,"Veil of Comeliness",http://lucy.allakhazam.com/item.html?id=1301
1302,"Savant's Cap",http://lucy.allakhazam.com/item.html?id=1302
1303,"Magical Woven Eyepatch",http://lucy.allakhazam.com/item.html?id=1303
1304,"Gossamer Cap",http://lucy.allakhazam.com/item.html?id=1304
1305,"Gossamer Veil",http://lucy.allakhazam.com/item.html?id=1305
1306,"Gossamer Collar",http://lucy.allakhazam.com/item.html?id=1306
1307,"Gossamer Robe",http://lucy.allakhazam.com/item.html?id=1307
1308,"Gossamer Amice",http://lucy.allakhazam.com/item.html?id=1308
1309,"Gossamer Cape",http://lucy.allakhazam.com/item.html?id=1309
1310,"Gossamer Sash",http://lucy.allakhazam.com/item.html?id=1310
1311,"Gossamer Sleeves",http://lucy.allakhazam.com/item.html?id=1311
1312,"Gossamer Wristbands",http://lucy.allakhazam.com/item.html?id=1312
1313,"Gossamer Gloves",http://lucy.allakhazam.com/item.html?id=1313
1314,"Gossamer Leggings",http://lucy.allakhazam.com/item.html?id=1314
1315,"Soft Leather Boots",http://lucy.allakhazam.com/item.html?id=1315
1316,"Velvet Choker",http://lucy.allakhazam.com/item.html?id=1316
1317,"Serpentskin Eyepatch",http://lucy.allakhazam.com/item.html?id=1317
1318,"Bone Fingered Gloves",http://lucy.allakhazam.com/item.html?id=1318
1320,"Flowing Black Robe",http://lucy.allakhazam.com/item.html?id=1320
1321,"Hollowed Bone Bracers",http://lucy.allakhazam.com/item.html?id=1321
1322,"Thaumaturgist's Robe",http://lucy.allakhazam.com/item.html?id=1322
1324,"Visage of Life",http://lucy.allakhazam.com/item.html?id=1324
1325,"Wreath of Nature",http://lucy.allakhazam.com/item.html?id=1325
1326,"Cloak of the Cave Bear",http://lucy.allakhazam.com/item.html?id=1326
1327,"Grizznot's Claws",http://lucy.allakhazam.com/item.html?id=1327
1328,"Incandescent Bracer",http://lucy.allakhazam.com/item.html?id=1328
1329,"Gnoll Fur Patch Quarter",http://lucy.allakhazam.com/item.html?id=1329
1330,"Patched Gnoll Fur Bundle",http://lucy.allakhazam.com/item.html?id=1330
1331,"Damask Cap",http://lucy.allakhazam.com/item.html?id=1331
1332,"Damask Veil",http://lucy.allakhazam.com/item.html?id=1332
1333,"Damask Collar",http://lucy.allakhazam.com/item.html?id=1333
1334,"Damask Robe",http://lucy.allakhazam.com/item.html?id=1334
1335,"Damask Amice",http://lucy.allakhazam.com/item.html?id=1335
1336,"Damask Cape",http://lucy.allakhazam.com/item.html?id=1336
1337,"Damask Sash",http://lucy.allakhazam.com/item.html?id=1337
1338,"Damask Sleeves",http://lucy.allakhazam.com/item.html?id=1338
1339,"Damask Wristbands",http://lucy.allakhazam.com/item.html?id=1339
1340,"Damask Gloves",http://lucy.allakhazam.com/item.html?id=1340
1341,"Damask Leggings",http://lucy.allakhazam.com/item.html?id=1341
1342,"Soft Leather Shoes",http://lucy.allakhazam.com/item.html?id=1342
1343,"Festering Cloak",http://lucy.allakhazam.com/item.html?id=1343
1344,"Robe of the Seeker",http://lucy.allakhazam.com/item.html?id=1344
1345,"Robe of the Keeper",http://lucy.allakhazam.com/item.html?id=1345
1346,"Robe of the Initiate",http://lucy.allakhazam.com/item.html?id=1346
1347,"Warthread Kilt",http://lucy.allakhazam.com/item.html?id=1347
1348,"Summoned: Muzzle of Mardu",http://lucy.allakhazam.com/item.html?id=1348
1349,"Fang of the Wolf",http://lucy.allakhazam.com/item.html?id=1349
1350,"Robe of the Elementalist",http://lucy.allakhazam.com/item.html?id=1350
1351,"Robe of the Evoker",http://lucy.allakhazam.com/item.html?id=1351
1354,"Robe of the Oracle",http://lucy.allakhazam.com/item.html?id=1354
1355,"Robe of Enshroudment",http://lucy.allakhazam.com/item.html?id=1355
1356,"Robe of the Elements",http://lucy.allakhazam.com/item.html?id=1356
1357,"Robe of the Ishva",http://lucy.allakhazam.com/item.html?id=1357
1358,"Advisor Robe",http://lucy.allakhazam.com/item.html?id=1358
1359,"Dagger of the White Rose",http://lucy.allakhazam.com/item.html?id=1359
1360,"Shining Metallic Robes",http://lucy.allakhazam.com/item.html?id=1360
1361,"Azure Sleeves",http://lucy.allakhazam.com/item.html?id=1361
1362,"Embroidered Black Sleeves",http://lucy.allakhazam.com/item.html?id=1362
1363,"Shimmering White Shroud",http://lucy.allakhazam.com/item.html?id=1363
1364,"Braided Cinch Cord",http://lucy.allakhazam.com/item.html?id=1364
1365,"Flowing Black Silk Sash",http://lucy.allakhazam.com/item.html?id=1365
1366,"Silversilk Leggings",http://lucy.allakhazam.com/item.html?id=1366
1367,"Braided Ivy Cords",http://lucy.allakhazam.com/item.html?id=1367
1368,"Wolf Fur Slippers",http://lucy.allakhazam.com/item.html?id=1368
1369,"Initiate Symbol of Innoruuk",http://lucy.allakhazam.com/item.html?id=1369
1370,"Disciple Symbol of Innoruuk",http://lucy.allakhazam.com/item.html?id=1370
1371,"Regent Symbol of Innoruuk",http://lucy.allakhazam.com/item.html?id=1371
1376,"Initiate Symbol of the Tribunal",http://lucy.allakhazam.com/item.html?id=1376
1390,"Initiate Symbol of Bertoxxulous",http://lucy.allakhazam.com/item.html?id=1390
1397,"Werewolf Spleen",http://lucy.allakhazam.com/item.html?id=1397
1398,"Werewolf Heart",http://lucy.allakhazam.com/item.html?id=1398
1400,"Moss Mask",http://lucy.allakhazam.com/item.html?id=1400
1401,"Embroidered Black Cape",http://lucy.allakhazam.com/item.html?id=1401
1402,"Gilded Cloth",http://lucy.allakhazam.com/item.html?id=1402
1403,"Shiny Silk Gloves",http://lucy.allakhazam.com/item.html?id=1403
1404,"Dusty Bloodstained Gloves",http://lucy.allakhazam.com/item.html?id=1404
1405,"Fine Silk Turban",http://lucy.allakhazam.com/item.html?id=1405
1406,"Tattered Leather Boots",http://lucy.allakhazam.com/item.html?id=1406
1407,"Cape of Midnight Mist",http://lucy.allakhazam.com/item.html?id=1407
1408,"Nightshade Wreath",http://lucy.allakhazam.com/item.html?id=1408
1409,"Hooded Black Cloak",http://lucy.allakhazam.com/item.html?id=1409
